Partition,R^2 Score,MSE,RMSE,MAE,Max Error
Training Set (800 rows),0.995387,3.351702,1.830766,1.355467,7.298268
Testing Set (200 rows),0.951075,42.964174,6.554706,4.439944,30.880092
