Sample ID,Feature Name,SHAP Value
0,particle_size_nm,-0.09595581889152527
0,drug_diffusion,-0.7792635560035706
0,nanoparticle_diffusion,0.20955480635166168
0,release_rate,-12.743075370788574
0,uptake_rate,0.5931181311607361
0,drug_loading,0.2029018998146057
0,tumor_growth_rate,5.861293315887451
0,drug_efficacy,19.025047302246094
1,particle_size_nm,-0.292093962430954
1,drug_diffusion,-0.45247283577919006
1,nanoparticle_diffusion,-0.12644802033901215
1,release_rate,6.1303558349609375
1,uptake_rate,-1.0264958143234253
1,drug_loading,1.608495831489563
1,tumor_growth_rate,-3.884148120880127
1,drug_efficacy,17.29334259033203
2,particle_size_nm,0.6073210835456848
2,drug_diffusion,-0.21901875734329224
2,nanoparticle_diffusion,-0.44416484236717224
2,release_rate,5.040431022644043
2,uptake_rate,0.06959643959999084
2,drug_loading,0.19626176357269287
2,tumor_growth_rate,22.85374641418457
2,drug_efficacy,-35.29478073120117
3,particle_size_nm,-0.4051632881164551
3,drug_diffusion,-0.2613557279109955
3,nanoparticle_diffusion,0.005015912931412458
3,release_rate,2.2002134323120117
3,uptake_rate,-0.7358648180961609
3,drug_loading,0.45830872654914856
3,tumor_growth_rate,22.17955780029297
3,drug_efficacy,-52.588523864746094
4,particle_size_nm,-0.22987762093544006
4,drug_diffusion,0.2167198210954666
4,nanoparticle_diffusion,-0.2850171625614166
4,release_rate,7.384794235229492
4,uptake_rate,0.7472778558731079
4,drug_loading,0.11373473703861237
4,tumor_growth_rate,5.290670394897461
4,drug_efficacy,14.103818893432617
5,particle_size_nm,-0.3138881325721741
5,drug_diffusion,0.25706610083580017
5,nanoparticle_diffusion,0.43414828181266785
5,release_rate,-6.608128547668457
5,uptake_rate,1.4820523262023926
5,drug_loading,0.33969953656196594
5,tumor_growth_rate,-6.0435471534729
5,drug_efficacy,21.667362213134766
6,particle_size_nm,0.06290477514266968
6,drug_diffusion,0.0011013501789420843
6,nanoparticle_diffusion,2.0090582370758057
6,release_rate,4.337490558624268
6,uptake_rate,1.4044030904769897
6,drug_loading,0.6535277366638184
6,tumor_growth_rate,-15.179229736328125
6,drug_efficacy,19.908729553222656
7,particle_size_nm,0.08368005603551865
7,drug_diffusion,0.3842294216156006
7,nanoparticle_diffusion,0.16612687706947327
7,release_rate,6.7414655685424805
7,uptake_rate,-0.15985453128814697
7,drug_loading,-0.7730395793914795
7,tumor_growth_rate,20.690221786499023
7,drug_efficacy,-2.2123186588287354
8,particle_size_nm,-0.19484886527061462
8,drug_diffusion,0.43911561369895935
8,nanoparticle_diffusion,-0.07419661432504654
8,release_rate,7.24608850479126
8,uptake_rate,-0.41383111476898193
8,drug_loading,0.613822340965271
8,tumor_growth_rate,-2.584515333175659
8,drug_efficacy,-16.087190628051758
9,particle_size_nm,-0.2403256744146347
9,drug_diffusion,-0.16577978432178497
9,nanoparticle_diffusion,-0.8219394087791443
9,release_rate,8.284172058105469
9,uptake_rate,-0.9373894333839417
9,drug_loading,0.22663965821266174
9,tumor_growth_rate,-26.32207489013672
9,drug_efficacy,2.987447500228882
10,particle_size_nm,-0.28200992941856384
10,drug_diffusion,-0.06237601488828659
10,nanoparticle_diffusion,0.20330776274204254
10,release_rate,-0.4721303880214691
10,uptake_rate,-0.5211140513420105
10,drug_loading,0.0678824782371521
10,tumor_growth_rate,14.066923141479492
10,drug_efficacy,16.630821228027344
11,particle_size_nm,-0.2332109957933426
11,drug_diffusion,-0.23537948727607727
11,nanoparticle_diffusion,-1.5968657732009888
11,release_rate,-2.0314645767211914
11,uptake_rate,0.9891595840454102
11,drug_loading,0.1729981005191803
11,tumor_growth_rate,7.399499893188477
11,drug_efficacy,9.196867942810059
12,particle_size_nm,0.04178251698613167
12,drug_diffusion,0.10483977198600769
12,nanoparticle_diffusion,-0.17832916975021362
12,release_rate,5.919477939605713
12,uptake_rate,1.1205569505691528
12,drug_loading,0.27263906598091125
12,tumor_growth_rate,16.380382537841797
12,drug_efficacy,-54.028690338134766
13,particle_size_nm,-0.3024211823940277
13,drug_diffusion,-0.11128266900777817
13,nanoparticle_diffusion,-0.10534414649009705
13,release_rate,6.15502405166626
13,uptake_rate,-0.44534024596214294
13,drug_loading,-0.11621173471212387
13,tumor_growth_rate,12.595849990844727
13,drug_efficacy,10.275297164916992
14,particle_size_nm,0.33469218015670776
14,drug_diffusion,0.27805769443511963
14,nanoparticle_diffusion,-0.7665285468101501
14,release_rate,5.120377063751221
14,uptake_rate,-0.0701436698436737
14,drug_loading,0.8074489235877991
14,tumor_growth_rate,12.601041793823242
14,drug_efficacy,12.22283935546875
15,particle_size_nm,0.1754947006702423
15,drug_diffusion,0.7850432991981506
15,nanoparticle_diffusion,0.0053154476918280125
15,release_rate,-23.677412033081055
15,uptake_rate,1.157081127166748
15,drug_loading,0.16128838062286377
15,tumor_growth_rate,26.69974136352539
15,drug_efficacy,-9.162636756896973
16,particle_size_nm,-0.6249016523361206
16,drug_diffusion,-0.10032311081886292
16,nanoparticle_diffusion,0.32855716347694397
16,release_rate,0.11635846644639969
16,uptake_rate,0.9566071033477783
16,drug_loading,0.2409534603357315
16,tumor_growth_rate,20.638118743896484
16,drug_efficacy,6.1460041999816895
17,particle_size_nm,0.034516267478466034
17,drug_diffusion,0.3952617645263672
17,nanoparticle_diffusion,0.014188586734235287
17,release_rate,6.564626216888428
17,uptake_rate,-0.5288583040237427
17,drug_loading,0.26881057024002075
17,tumor_growth_rate,-27.27178192138672
17,drug_efficacy,2.702387571334839
18,particle_size_nm,-0.36214229464530945
18,drug_diffusion,0.2953854501247406
18,nanoparticle_diffusion,-0.04371314495801926
18,release_rate,6.851003170013428
18,uptake_rate,1.2386624813079834
18,drug_loading,-0.09140321612358093
18,tumor_growth_rate,-10.4808931350708
18,drug_efficacy,-36.28365707397461
19,particle_size_nm,-0.057683028280735016
19,drug_diffusion,0.012290745042264462
19,nanoparticle_diffusion,1.539524793624878
19,release_rate,6.05324649810791
19,uptake_rate,0.7050043344497681
19,drug_loading,-0.2788568437099457
19,tumor_growth_rate,14.057744979858398
19,drug_efficacy,9.58083724975586
20,particle_size_nm,0.734541654586792
20,drug_diffusion,-0.06455188244581223
20,nanoparticle_diffusion,-0.2515334188938141
20,release_rate,8.239364624023438
20,uptake_rate,-0.3798612952232361
20,drug_loading,-0.11042582988739014
20,tumor_growth_rate,-41.393943786621094
20,drug_efficacy,4.274415016174316
21,particle_size_nm,-0.22243286669254303
21,drug_diffusion,-0.3153842091560364
21,nanoparticle_diffusion,1.6440914869308472
21,release_rate,-1.8139005899429321
21,uptake_rate,-1.9132254123687744
21,drug_loading,-0.32756420969963074
21,tumor_growth_rate,-46.6706428527832
21,drug_efficacy,-1.563369870185852
22,particle_size_nm,-0.1971215158700943
22,drug_diffusion,-1.2511708736419678
22,nanoparticle_diffusion,1.3941575288772583
22,release_rate,-54.85017395019531
22,uptake_rate,2.146230936050415
22,drug_loading,-1.1282861232757568
22,tumor_growth_rate,-2.336303949356079
22,drug_efficacy,2.8301193714141846
23,particle_size_nm,-0.7295781373977661
23,drug_diffusion,0.09223508834838867
23,nanoparticle_diffusion,2.911851167678833
23,release_rate,-5.733641147613525
23,uptake_rate,1.2845501899719238
23,drug_loading,0.20735979080200195
23,tumor_growth_rate,-12.888375282287598
23,drug_efficacy,22.66290855407715
24,particle_size_nm,-0.07459069788455963
24,drug_diffusion,0.11599598824977875
24,nanoparticle_diffusion,0.5853727459907532
24,release_rate,3.0935280323028564
24,uptake_rate,1.5259071588516235
24,drug_loading,0.3638615012168884
24,tumor_growth_rate,-7.904712200164795
24,drug_efficacy,-17.717676162719727
25,particle_size_nm,-0.03618081659078598
25,drug_diffusion,0.11838854104280472
25,nanoparticle_diffusion,2.623666286468506
25,release_rate,-4.132779121398926
25,uptake_rate,1.363241195678711
25,drug_loading,0.33084407448768616
25,tumor_growth_rate,-4.259707450866699
25,drug_efficacy,21.71762466430664
26,particle_size_nm,1.0087933540344238
26,drug_diffusion,-0.1185634508728981
26,nanoparticle_diffusion,-1.050643801689148
26,release_rate,0.3371811807155609
26,uptake_rate,-0.28758588433265686
26,drug_loading,0.14994925260543823
26,tumor_growth_rate,23.664966583251953
26,drug_efficacy,-2.148507833480835
27,particle_size_nm,0.15686632692813873
27,drug_diffusion,0.13514044880867004
27,nanoparticle_diffusion,-0.3167967200279236
27,release_rate,5.814715385437012
27,uptake_rate,-0.8367130160331726
27,drug_loading,0.3740193247795105
27,tumor_growth_rate,-38.93156433105469
27,drug_efficacy,21.879714965820312
28,particle_size_nm,-0.6384650468826294
28,drug_diffusion,0.5021526217460632
28,nanoparticle_diffusion,0.12276531755924225
28,release_rate,7.4679083824157715
28,uptake_rate,-0.5985043048858643
28,drug_loading,0.3225216567516327
28,tumor_growth_rate,-3.217233419418335
28,drug_efficacy,-30.57878875732422
29,particle_size_nm,0.0034562270157039165
29,drug_diffusion,-0.14813223481178284
29,nanoparticle_diffusion,-1.3088377714157104
29,release_rate,4.846953868865967
29,uptake_rate,0.8027905821800232
29,drug_loading,0.27379801869392395
29,tumor_growth_rate,-37.10808563232422
29,drug_efficacy,-18.441375732421875
30,particle_size_nm,-0.34672197699546814
30,drug_diffusion,-0.2820805013179779
30,nanoparticle_diffusion,-1.4820314645767212
30,release_rate,0.5390788912773132
30,uptake_rate,0.7912222743034363
30,drug_loading,-0.28794342279434204
30,tumor_growth_rate,23.47890853881836
30,drug_efficacy,-0.9773381352424622
31,particle_size_nm,0.09214296191930771
31,drug_diffusion,-0.16314469277858734
31,nanoparticle_diffusion,-0.022177036851644516
31,release_rate,-0.9401277303695679
31,uptake_rate,-0.9129530191421509
31,drug_loading,-0.0582759752869606
31,tumor_growth_rate,22.631690979003906
31,drug_efficacy,0.4368303120136261
32,particle_size_nm,-0.19206677377223969
32,drug_diffusion,-1.014248251914978
32,nanoparticle_diffusion,2.171833038330078
32,release_rate,-57.95214080810547
32,uptake_rate,-2.121389865875244
32,drug_loading,-1.9584625959396362
32,tumor_growth_rate,6.839476108551025
32,drug_efficacy,17.387311935424805
33,particle_size_nm,0.01383147668093443
33,drug_diffusion,0.08557520806789398
33,nanoparticle_diffusion,-1.7535581588745117
33,release_rate,-3.8232626914978027
33,uptake_rate,1.2197294235229492
33,drug_loading,-0.3071397840976715
33,tumor_growth_rate,-27.135313034057617
33,drug_efficacy,7.232883453369141
34,particle_size_nm,-0.9238790273666382
34,drug_diffusion,-0.5092583298683167
34,nanoparticle_diffusion,-1.4773513078689575
34,release_rate,2.3187575340270996
34,uptake_rate,0.7564106583595276
34,drug_loading,0.3191308081150055
34,tumor_growth_rate,-23.33031463623047
34,drug_efficacy,24.686416625976562
35,particle_size_nm,-0.06534082442522049
35,drug_diffusion,-0.1350805014371872
35,nanoparticle_diffusion,0.34421199560165405
35,release_rate,7.2061591148376465
35,uptake_rate,0.6292653679847717
35,drug_loading,-0.22073665261268616
35,tumor_growth_rate,13.710142135620117
35,drug_efficacy,8.148618698120117
36,particle_size_nm,0.5315964221954346
36,drug_diffusion,0.42147213220596313
36,nanoparticle_diffusion,1.137252688407898
36,release_rate,4.651595592498779
36,uptake_rate,-0.6156707406044006
36,drug_loading,0.26444095373153687
36,tumor_growth_rate,22.863203048706055
36,drug_efficacy,-4.07817268371582
37,particle_size_nm,-0.22499586641788483
37,drug_diffusion,-0.09936360269784927
37,nanoparticle_diffusion,0.04495050013065338
37,release_rate,6.0644001960754395
37,uptake_rate,-0.6664787530899048
37,drug_loading,-1.7244669198989868
37,tumor_growth_rate,26.369033813476562
37,drug_efficacy,-33.35458755493164
38,particle_size_nm,-0.4368678629398346
38,drug_diffusion,0.23467151820659637
38,nanoparticle_diffusion,0.1690986603498459
38,release_rate,1.4066696166992188
38,uptake_rate,-1.6500613689422607
38,drug_loading,0.35207146406173706
38,tumor_growth_rate,13.577162742614746
38,drug_efficacy,14.08265495300293
39,particle_size_nm,0.16605763137340546
39,drug_diffusion,0.12146901339292526
39,nanoparticle_diffusion,0.4058116674423218
39,release_rate,8.945420265197754
39,uptake_rate,-1.8879978656768799
39,drug_loading,-0.048563309013843536
39,tumor_growth_rate,1.694313406944275
39,drug_efficacy,8.497081756591797
40,particle_size_nm,-0.047656141221523285
40,drug_diffusion,-0.12402195483446121
40,nanoparticle_diffusion,-0.8769711852073669
40,release_rate,-3.728215217590332
40,uptake_rate,-0.23103106021881104
40,drug_loading,0.3285868465900421
40,tumor_growth_rate,27.76421356201172
40,drug_efficacy,-10.98600959777832
41,particle_size_nm,-0.0030966182239353657
41,drug_diffusion,0.5825617909431458
41,nanoparticle_diffusion,-0.07038985937833786
41,release_rate,4.314646244049072
41,uptake_rate,1.187621831893921
41,drug_loading,0.2755320072174072
41,tumor_growth_rate,2.207313060760498
41,drug_efficacy,1.0465298891067505
42,particle_size_nm,-0.027007922530174255
42,drug_diffusion,-0.060912784188985825
42,nanoparticle_diffusion,-1.5115054845809937
42,release_rate,8.251326560974121
42,uptake_rate,-0.0606222040951252
42,drug_loading,0.3107282519340515
42,tumor_growth_rate,-42.63886642456055
42,drug_efficacy,20.697763442993164
43,particle_size_nm,-0.18125715851783752
43,drug_diffusion,0.10902544856071472
43,nanoparticle_diffusion,-1.791084885597229
43,release_rate,4.081931114196777
43,uptake_rate,0.9610769748687744
43,drug_loading,0.026331957429647446
43,tumor_growth_rate,-25.9262638092041
43,drug_efficacy,15.326250076293945
44,particle_size_nm,-0.0923440083861351
44,drug_diffusion,-0.09686968475580215
44,nanoparticle_diffusion,-0.17760437726974487
44,release_rate,-6.251282215118408
44,uptake_rate,-0.3079473376274109
44,drug_loading,0.2403116524219513
44,tumor_growth_rate,-36.00966262817383
44,drug_efficacy,13.356191635131836
45,particle_size_nm,0.25465115904808044
45,drug_diffusion,-0.920576274394989
45,nanoparticle_diffusion,0.10657791048288345
45,release_rate,4.598580360412598
45,uptake_rate,-0.5130060315132141
45,drug_loading,0.7363429665565491
45,tumor_growth_rate,13.425376892089844
45,drug_efficacy,-58.05147933959961
46,particle_size_nm,-0.1569758951663971
46,drug_diffusion,0.09007516503334045
46,nanoparticle_diffusion,-0.32699403166770935
46,release_rate,7.318011283874512
46,uptake_rate,1.1924357414245605
46,drug_loading,0.2502680718898773
46,tumor_growth_rate,-30.30872344970703
46,drug_efficacy,24.28183364868164
47,particle_size_nm,0.1460946798324585
47,drug_diffusion,-0.28820449113845825
47,nanoparticle_diffusion,1.519740343093872
47,release_rate,-30.352882385253906
47,uptake_rate,-0.5162795186042786
47,drug_loading,-0.036714594811201096
47,tumor_growth_rate,26.32033920288086
47,drug_efficacy,-48.721858978271484
48,particle_size_nm,0.7595052719116211
48,drug_diffusion,0.3817319869995117
48,nanoparticle_diffusion,-1.4168645143508911
48,release_rate,-0.26329267024993896
48,uptake_rate,0.9427635669708252
48,drug_loading,-0.2773231863975525
48,tumor_growth_rate,25.629831314086914
48,drug_efficacy,-8.529711723327637
49,particle_size_nm,1.1557697057724
49,drug_diffusion,0.1444033682346344
49,nanoparticle_diffusion,0.6545490622520447
49,release_rate,7.60122537612915
49,uptake_rate,-0.9530386328697205
49,drug_loading,0.22332018613815308
