Sample Number,Parameter Values,Tumor Reduction,Reason For Rejection,Rejection Category
407,"{""drug_diffusion"": 4.026970614795301e-09, ""drug_efficacy"": 0.6496774145667912, ""drug_loading"": 0.25465104193028876, ""np_diffusion"": 1.5479785184000322e-09, ""particle_size_nm"": 140.2934650136395, ""release_rate"": 0.039737102382838604, ""tumor_growth_rate"": 0.03373954031477169, ""uptake_rate"": 0.05859792511991693}",-93.9004612455,final tumor volume exceeds the initial tumor volume.,Treatment failure
409,"{""drug_diffusion"": 4.67730227708431e-09, ""drug_efficacy"": 0.30401029756165476, ""drug_loading"": 0.9957064480099393, ""np_diffusion"": 8.842895063347031e-09, ""particle_size_nm"": 50.47480019611112, ""release_rate"": 0.08514093469147155, ""tumor_growth_rate"": 0.03967908898686615, ""uptake_rate"": 0.0777103563356449}",-460.017560116,final tumor volume exceeds the initial tumor volume.,Treatment failure
414,"{""drug_diffusion"": 9.211713457731279e-09, ""drug_efficacy"": 0.49985309368023445, ""drug_loading"": 0.9349429163726126, ""np_diffusion"": 6.614427653700179e-09, ""particle_size_nm"": 28.345126768517094, ""release_rate"": 0.19008885485239393, ""tumor_growth_rate"": 0.04758485481463259, ""uptake_rate"": 0.01862964782098945}",-236.720720417,final tumor volume exceeds the initial tumor volume.,Treatment failure
415,"{""drug_diffusion"": 3.7068751875038996e-09, ""drug_efficacy"": 0.3231923234303212, ""drug_loading"": 0.8833316730057494, ""np_diffusion"": 3.332888284770609e-09, ""particle_size_nm"": 92.59844887751768, ""release_rate"": 0.17060953707999282, ""tumor_growth_rate"": 0.025832754724320027, ""uptake_rate"": 0.01359417460221132}",-67.6680704102,final tumor volume exceeds the initial tumor volume.,Treatment failure
417,"{""drug_diffusion"": 8.113072541460515e-09, ""drug_efficacy"": 0.6491931447667296, ""drug_loading"": 0.9739694842308557, ""np_diffusion"": 6.669145537414234e-09, ""particle_size_nm"": 38.38950114933766, ""release_rate"": 0.08978073911297128, ""tumor_growth_rate"": 0.04505012503478419, ""uptake_rate"": 0.0907304043498489}",-89.1389893174,final tumor volume exceeds the initial tumor volume.,Treatment failure
425,"{""drug_diffusion"": 5.528039568773605e-09, ""drug_efficacy"": 0.3935388625754963, ""drug_loading"": 0.9413739605793374, ""np_diffusion"": 1.6590935685613583e-09, ""particle_size_nm"": 136.54211959677605, ""release_rate"": 0.10385706899528781, ""tumor_growth_rate"": 0.04164459241643184, ""uptake_rate"": 0.08846637729077267}",-328.631084839,final tumor volume exceeds the initial tumor volume.,Treatment failure
426,"{""drug_diffusion"": 8.96992333528151e-09, ""drug_efficacy"": 0.30625905918423785, ""drug_loading"": 0.6547084301924206, ""np_diffusion"": 3.9118273758531695e-09, ""particle_size_nm"": 106.00196899994685, ""release_rate"": 0.023434524730834492, ""tumor_growth_rate"": 0.04941652078712891, ""uptake_rate"": 0.06973461056182045}",-1180.93081599,final tumor volume exceeds the initial tumor volume.,Treatment failure
427,"{""drug_diffusion"": 4.4588160034685597e-10, ""drug_efficacy"": 0.34118685173256935, ""drug_loading"": 0.4304134114391709, ""np_diffusion"": 4.755642392897004e-09, ""particle_size_nm"": 147.19595420617287, ""release_rate"": 0.16414487346218137, ""tumor_growth_rate"": 0.03761657827649785, ""uptake_rate"": 0.09116382881278182}",-282.38041902,final tumor volume exceeds the initial tumor volume.,Treatment failure
428,"{""drug_diffusion"": 6.893460685302859e-10, ""drug_efficacy"": 0.5663535987333659, ""drug_loading"": 0.9329598840650433, ""np_diffusion"": 2.0157785350476733e-09, ""particle_size_nm"": 66.4965756887701, ""release_rate"": 0.178836907179506, ""tumor_growth_rate"": 0.04302181449703998, ""uptake_rate"": 0.07394613955801997}",-94.3114328519,final tumor volume exceeds the initial tumor volume.,Treatment failure
429,"{""drug_diffusion"": 1.0066503679982309e-10, ""drug_efficacy"": 0.34976326947513714, ""drug_loading"": 0.5284120583497303, ""np_diffusion"": 8.85360391913099e-09, ""particle_size_nm"": 198.63182562103174, ""release_rate"": 0.19043430339284328, ""tumor_growth_rate"": 0.04823618508780359, ""uptake_rate"": 0.059451956329847344}",-553.248012151,final tumor volume exceeds the initial tumor volume.,Treatment failure
431,"{""drug_diffusion"": 6.038051834776985e-09, ""drug_efficacy"": 0.435576088015408, ""drug_loading"": 0.9088314565262106, ""np_diffusion"": 5.772119001218023e-09, ""particle_size_nm"": 24.15845949582016, ""release_rate"": 0.10499089668774596, ""tumor_growth_rate"": 0.02917669140838114, ""uptake_rate"": 0.010192381943025599}",-31.4442751616,final tumor volume exceeds the initial tumor volume.,Treatment failure
437,"{""drug_diffusion"": 2.7415326362658883e-09, ""drug_efficacy"": 0.5736343513104782, ""drug_loading"": 0.3616384792203361, ""np_diffusion"": 9.73086319148304e-09, ""particle_size_nm"": 97.08737798386505, ""release_rate"": 0.018877157999176625, ""tumor_growth_rate"": 0.024206345943146558, ""uptake_rate"": 0.07778106141308261}",-112.98117943,final tumor volume exceeds the initial tumor volume.,Treatment failure
439,"{""drug_diffusion"": 9.226594658315944e-09, ""drug_efficacy"": 0.4882095336320782, ""drug_loading"": 0.4963886982199121, ""np_diffusion"": 8.603427628698674e-09, ""particle_size_nm"": 80.14800074492742, ""release_rate"": 0.19869053956148283, ""tumor_growth_rate"": 0.037260935233573066, ""uptake_rate"": 0.03397470520401906}",-71.7007300205,final tumor volume exceeds the initial tumor volume.,Treatment failure
444,"{""drug_diffusion"": 2.4963081408412667e-09, ""drug_efficacy"": 0.3319686028089917, ""drug_loading"": 0.8311890741299643, ""np_diffusion"": 4.075213332777374e-09, ""particle_size_nm"": 180.2419700424841, ""release_rate"": 0.011941108161779238, ""tumor_growth_rate"": 0.043994247344163774, ""uptake_rate"": 0.044686699370587966}",-1083.48512918,final tumor volume exceeds the initial tumor volume.,Treatment failure
445,"{""drug_diffusion"": 9.855473313087526e-09, ""drug_efficacy"": 0.5236003526744055, ""drug_loading"": 0.25066044603456017, ""np_diffusion"": 6.9497579663372555e-09, ""particle_size_nm"": 44.602609369916976, ""release_rate"": 0.08652438377153962, ""tumor_growth_rate"": 0.04726554005581097, ""uptake_rate"": 0.05008940931766012}",-271.391777859,final tumor volume exceeds the initial tumor volume.,Treatment failure
446,"{""drug_diffusion"": 4.821586197191232e-10, ""drug_efficacy"": 0.6029272262574219, ""drug_loading"": 0.6423475327182395, ""np_diffusion"": 4.210949031809548e-10, ""particle_size_nm"": 173.97906919206696, ""release_rate"": 0.08637946252018615, ""tumor_growth_rate"": 0.04686271509642827, ""uptake_rate"": 0.09351449028380178}",-173.908533165,final tumor volume exceeds the initial tumor volume.,Treatment failure
447,"{""drug_diffusion"": 6.9217371140256145e-09, ""drug_efficacy"": 0.46041839000145346, ""drug_loading"": 0.6446424134498274, ""np_diffusion"": 4.291743578257444e-09, ""particle_size_nm"": 177.49681897417554, ""release_rate"": 0.03887694533420237, ""tumor_growth_rate"": 0.03131261221972771, ""uptake_rate"": 0.026250830569575404}",-182.601406081,final tumor volume exceeds the initial tumor volume.,Treatment failure
449,"{""drug_diffusion"": 6.326184683618037e-10, ""drug_efficacy"": 0.8504493406311064, ""drug_loading"": 0.6704730283311716, ""np_diffusion"": 4.839452349789638e-09, ""particle_size_nm"": 195.84326663548217, ""release_rate"": 0.03912831555740655, ""tumor_growth_rate"": 0.046602790262564774, ""uptake_rate"": 0.04637930627709906}",-150.645834125,final tumor volume exceeds the initial tumor volume.,Treatment failure
450,"{""drug_diffusion"": 7.294058786128614e-09, ""drug_efficacy"": 0.7574749454461551, ""drug_loading"": 0.7775345648833953, ""np_diffusion"": 6.27216368452016e-09, ""particle_size_nm"": 34.97493596467321, ""release_rate"": 0.03309181819582894, ""tumor_growth_rate"": 0.049499415017922314, ""uptake_rate"": 0.02710279861294214}",-348.859921104,final tumor volume exceeds the initial tumor volume.,Treatment failure
453,"{""drug_diffusion"": 9.723575781269895e-09, ""drug_efficacy"": 0.3568218129607927, ""drug_loading"": 0.8045342045746293, ""np_diffusion"": 2.3525855154236406e-09, ""particle_size_nm"": 70.99089252484302, ""release_rate"": 0.14897037593007537, ""tumor_growth_rate"": 0.046999229474624316, ""uptake_rate"": 0.08982658387695736}",-524.431998926,final tumor volume exceeds the initial tumor volume.,Treatment failure
454,"{""drug_diffusion"": 9.700849122733916e-09, ""drug_efficacy"": 0.3816579779125594, ""drug_loading"": 0.6399955879079613, ""np_diffusion"": 2.2871125538193894e-09, ""particle_size_nm"": 197.22219574346968, ""release_rate"": 0.013901313400353194, ""tumor_growth_rate"": 0.02100615071627223, ""uptake_rate"": 0.05886569458003495}",-200.506836725,final tumor volume exceeds the initial tumor volume.,Treatment failure
458,"{""drug_diffusion"": 8.023715816287228e-09, ""drug_efficacy"": 0.6254794251827512, ""drug_loading"": 0.6009012329238381, ""np_diffusion"": 8.08795512939124e-09, ""particle_size_nm"": 136.70653366414197, ""release_rate"": 0.07962080571328292, ""tumor_growth_rate"": 0.04891092792959055, ""uptake_rate"": 0.031482691643760406}",-177.400989845,final tumor volume exceeds the initial tumor volume.,Treatment failure
460,"{""drug_diffusion"": 8.748031547653817e-09, ""drug_efficacy"": 0.4047455897302922, ""drug_loading"": 0.42395542822709803, ""np_diffusion"": 9.925642881869946e-09, ""particle_size_nm"": 194.27273172381956, ""release_rate"": 0.04832844943189576, ""tumor_growth_rate"": 0.04840500519499012, ""uptake_rate"": 0.015454278707211257}",-631.743403108,final tumor volume exceeds the initial tumor volume.,Treatment failure
461,"{""drug_diffusion"": 3.525729399853401e-09, ""drug_efficacy"": 0.5458610170306791, ""drug_loading"": 0.7159636410160035, ""np_diffusion"": 9.858938284603743e-09, ""particle_size_nm"": 104.29286204642814, ""release_rate"": 0.04157217981199465, ""tumor_growth_rate"": 0.04227253667467204, ""uptake_rate"": 0.014321696590410639}",-279.37654871,final tumor volume exceeds the initial tumor volume.,Treatment failure
464,"{""drug_diffusion"": 5.676013425796196e-09, ""drug_efficacy"": 0.3378137854764499, ""drug_loading"": 0.5680532578465802, ""np_diffusion"": 6.671084431183317e-09, ""particle_size_nm"": 182.8731383947752, ""release_rate"": 0.18362097826274487, ""tumor_growth_rate"": 0.04635423266263461, ""uptake_rate"": 0.014583411266111948}",-513.276556364,final tumor volume exceeds the initial tumor volume.,Treatment failure
466,"{""drug_diffusion"": 5.300879157313398e-10, ""drug_efficacy"": 0.33749218659633756, ""drug_loading"": 0.7018841553384736, ""np_diffusion"": 1.497410499344268e-09, ""particle_size_nm"": 30.122514279874103, ""release_rate"": 0.03204653911291793, ""tumor_growth_rate"": 0.035534702983185354, ""uptake_rate"": 0.013959818702959481}",-525.078891188,final tumor volume exceeds the initial tumor volume.,Treatment failure
470,"{""drug_diffusion"": 6.103180078010114e-09, ""drug_efficacy"": 0.35095686849345953, ""drug_loading"": 0.21257977262260627, ""np_diffusion"": 8.820172243887617e-09, ""particle_size_nm"": 197.4071254463036, ""release_rate"": 0.1906674885567136, ""tumor_growth_rate"": 0.04262915249349792, ""uptake_rate"": 0.04023569659264252}",-380.672229782,final tumor volume exceeds the initial tumor volume.,Treatment failure
474,"{""drug_diffusion"": 9.925475996656518e-09, ""drug_efficacy"": 0.6689866340577263, ""drug_loading"": 0.27979164367859005, ""np_diffusion"": 2.58865686222646e-09, ""particle_size_nm"": 150.28716080695253, ""release_rate"": 0.0253143452708018, ""tumor_growth_rate"": 0.030054963069716847, ""uptake_rate"": 0.0684817819154116}",-134.069753507,final tumor volume exceeds the initial tumor volume.,Treatment failure
480,"{""drug_diffusion"": 8.17480750932193e-09, ""drug_efficacy"": 0.38330425584085975, ""drug_loading"": 0.6922545107285957, ""np_diffusion"": 7.602488610036915e-09, ""particle_size_nm"": 120.33079781991222, ""release_rate"": 0.0838849298754027, ""tumor_growth_rate"": 0.03744041625119396, ""uptake_rate"": 0.07019249442688838}",-256.551285199,final tumor volume exceeds the initial tumor volume.,Treatment failure
484,"{""drug_diffusion"": 9.740456974178065e-09, ""drug_efficacy"": 0.7560348634345213, ""drug_loading"": 0.6001738865668484, ""np_diffusion"": 4.297732042240103e-09, ""particle_size_nm"": 46.47813826981985, ""release_rate"": 0.19669125538216664, ""tumor_growth_rate"": 0.04907419059151011, ""uptake_rate"": 0.09780078512122774}",-18.5478107423,final tumor volume exceeds the initial tumor volume.,Treatment failure
485,"{""drug_diffusion"": 8.412109694531034e-09, ""drug_efficacy"": 0.3589737159373294, ""drug_loading"": 0.9284997110348203, ""np_diffusion"": 4.0030155193268727e-10, ""particle_size_nm"": 83.00101456405633, ""release_rate"": 0.087784783684884, ""tumor_growth_rate"": 0.03308904606153882, ""uptake_rate"": 0.04624377112881304}",-192.852021907,final tumor volume exceeds the initial tumor volume.,Treatment failure
489,"{""drug_diffusion"": 3.584771568406456e-09, ""drug_efficacy"": 0.7165687124279968, ""drug_loading"": 0.882505612993959, ""np_diffusion"": 3.772038379539111e-09, ""particle_size_nm"": 151.99441111719653, ""release_rate"": 0.06086802464523196, ""tumor_growth_rate"": 0.04623463323935387, ""uptake_rate"": 0.07456422502494188}",-116.192972424,final tumor volume exceeds the initial tumor volume.,Treatment failure
490,"{""drug_diffusion"": 1.260621207504823e-09, ""drug_efficacy"": 0.6936432571152935, ""drug_loading"": 0.8379776434149706, ""np_diffusion"": 5.3760509824125406e-09, ""particle_size_nm"": 186.21582499735158, ""release_rate"": 0.011155700924760087, ""tumor_growth_rate"": 0.02991065932495187, ""uptake_rate"": 0.0767334143855647}",-253.852109106,final tumor volume exceeds the initial tumor volume.,Treatment failure
492,"{""drug_diffusion"": 6.136813485892144e-09, ""drug_efficacy"": 0.524562277739121, ""drug_loading"": 0.9523377555455215, ""np_diffusion"": 1.292521249792849e-09, ""particle_size_nm"": 109.81526439753394, ""release_rate"": 0.18182264521932237, ""tumor_growth_rate"": 0.0473478017441457, ""uptake_rate"": 0.011615486855677076}",-214.324296387,final tumor volume exceeds the initial tumor volume.,Treatment failure
493,"{""drug_diffusion"": 7.841993173621397e-09, ""drug_efficacy"": 0.31318639447777835, ""drug_loading"": 0.33480650194908235, ""np_diffusion"": 6.207046900506277e-09, ""particle_size_nm"": 139.54954192820117, ""release_rate"": 0.054582031418860165, ""tumor_growth_rate"": 0.024039553112113175, ""uptake_rate"": 0.09960905643517944}",-118.440036519,final tumor volume exceeds the initial tumor volume.,Treatment failure
495,"{""drug_diffusion"": 3.507904711678419e-09, ""drug_efficacy"": 0.30218619729376006, ""drug_loading"": 0.9283680383110975, ""np_diffusion"": 6.141697310356815e-09, ""particle_size_nm"": 114.03342972469274, ""release_rate"": 0.14067976945747748, ""tumor_growth_rate"": 0.029532465152866748, ""uptake_rate"": 0.055612425247607934}",-159.740936245,final tumor volume exceeds the initial tumor volume.,Treatment failure
501,"{""drug_diffusion"": 1.8142642783687996e-09, ""drug_efficacy"": 0.5506301361240781, ""drug_loading"": 0.7536914817791582, ""np_diffusion"": 3.641774056584196e-10, ""particle_size_nm"": 20.430321406696258, ""release_rate"": 0.14921643411867497, ""tumor_growth_rate"": 0.049663425611271995, ""uptake_rate"": 0.052570716989118874}",-240.750796147,final tumor volume exceeds the initial tumor volume.,Treatment failure
505,"{""drug_diffusion"": 2.6185757176612823e-09, ""drug_efficacy"": 0.7278500016357821, ""drug_loading"": 0.5077555687471815, ""np_diffusion"": 5.294281113458055e-09, ""particle_size_nm"": 144.06282871030544, ""release_rate"": 0.024166450475929135, ""tumor_growth_rate"": 0.028097802291458016, ""uptake_rate"": 0.017859955255515314}",-49.8263921058,final tumor volume exceeds the initial tumor volume.,Treatment failure
507,"{""drug_diffusion"": 2.833541969585879e-09, ""drug_efficacy"": 0.3001287601033757, ""drug_loading"": 0.4995849295485155, ""np_diffusion"": 5.383231363768065e-10, ""particle_size_nm"": 47.221848932348976, ""release_rate"": 0.053991755869718334, ""tumor_growth_rate"": 0.02002418736883613, ""uptake_rate"": 0.09282213440892592}",-69.5667201062,final tumor volume exceeds the initial tumor volume.,Treatment failure
512,"{""drug_diffusion"": 6.221416060143652e-09, ""drug_efficacy"": 0.5547262444087501, ""drug_loading"": 0.9716808159705845, ""np_diffusion"": 1.9113891711382843e-09, ""particle_size_nm"": 98.58427441430901, ""release_rate"": 0.022796151447927168, ""tumor_growth_rate"": 0.03729873864320537, ""uptake_rate"": 0.07808026707494838}",-450.132080728,final tumor volume exceeds the initial tumor volume.,Treatment failure
516,"{""drug_diffusion"": 4.138726808584866e-09, ""drug_efficacy"": 0.636363640172871, ""drug_loading"": 0.2792274203253484, ""np_diffusion"": 9.098435572149985e-09, ""particle_size_nm"": 153.86859229677782, ""release_rate"": 0.15891105384389775, ""tumor_growth_rate"": 0.04720543145557184, ""uptake_rate"": 0.0638358885988158}",-86.692519913,final tumor volume exceeds the initial tumor volume.,Treatment failure
518,"{""drug_diffusion"": 8.873306988292448e-09, ""drug_efficacy"": 0.6323110991879979, ""drug_loading"": 0.27638974246383147, ""np_diffusion"": 7.457982207052035e-09, ""particle_size_nm"": 120.28437073124636, ""release_rate"": 0.011755025542383581, ""tumor_growth_rate"": 0.03231768220461133, ""uptake_rate"": 0.06346711463351205}",-337.111902849,final tumor volume exceeds the initial tumor volume.,Treatment failure
520,"{""drug_diffusion"": 2.8802365698353557e-09, ""drug_efficacy"": 0.3113603588777363, ""drug_loading"": 0.9051748846151819, ""np_diffusion"": 3.634907434838876e-09, ""particle_size_nm"": 113.49083796199578, ""release_rate"": 0.04342979104857618, ""tumor_growth_rate"": 0.04159522529565349, ""uptake_rate"": 0.029593406965579785}",-678.902141847,final tumor volume exceeds the initial tumor volume.,Treatment failure
522,"{""drug_diffusion"": 3.6676392889705873e-09, ""drug_efficacy"": 0.988671375596085, ""drug_loading"": 0.5189128996602868, ""np_diffusion"": 2.2121444139902826e-09, ""particle_size_nm"": 88.14168068583965, ""release_rate"": 0.018663273055731705, ""tumor_growth_rate"": 0.03694536772477449, ""uptake_rate"": 0.04443366515390034}",-157.9750708,final tumor volume exceeds the initial tumor volume.,Treatment failure
523,"{""drug_diffusion"": 7.852368999081983e-09, ""drug_efficacy"": 0.5744688194898595, ""drug_loading"": 0.8171231753598598, ""np_diffusion"": 1.9289935233734687e-09, ""particle_size_nm"": 20.521780925486276, ""release_rate"": 0.18099508793745692, ""tumor_growth_rate"": 0.04661051186667393, ""uptake_rate"": 0.07500959435254338}",-141.485219538,final tumor volume exceeds the initial tumor volume.,Treatment failure
525,"{""drug_diffusion"": 2.012861717271801e-09, ""drug_efficacy"": 0.3490653999873805, ""drug_loading"": 0.5333222893892227, ""np_diffusion"": 9.064019436424945e-09, ""particle_size_nm"": 95.10734542851617, ""release_rate"": 0.1519541371105012, ""tumor_growth_rate"": 0.04962887430400478, ""uptake_rate"": 0.016771049133706282}",-589.230196673,final tumor volume exceeds the initial tumor volume.,Treatment failure
526,"{""drug_diffusion"": 6.570184351790636e-09, ""drug_efficacy"": 0.5211203786366763, ""drug_loading"": 0.30863483486214727, ""np_diffusion"": 6.154164072729523e-09, ""particle_size_nm"": 36.494085504697814, ""release_rate"": 0.02617892305957048, ""tumor_growth_rate"": 0.028166900823713537, ""uptake_rate"": 0.010564543932095292}",-134.898283137,final tumor volume exceeds the initial tumor volume.,Treatment failure
529,"{""drug_diffusion"": 8.498484597954187e-09, ""drug_efficacy"": 0.5991546515744175, ""drug_loading"": 0.21304409329573076, ""np_diffusion"": 5.5751176849218265e-09, ""particle_size_nm"": 145.71602745854858, ""release_rate"": 0.12585875913478217, ""tumor_growth_rate"": 0.04983453733661911, ""uptake_rate"": 0.09832657759700095}",-188.149464967,final tumor volume exceeds the initial tumor volume.,Treatment failure
530,"{""drug_diffusion"": 2.213040375929657e-10, ""drug_efficacy"": 0.9179890362169072, ""drug_loading"": 0.7813387858686001, ""np_diffusion"": 4.114389429435515e-09, ""particle_size_nm"": 45.64375105102692, ""release_rate"": 0.03211989105761622, ""tumor_growth_rate"": 0.03768748866752181, ""uptake_rate"": 0.028819727309610153}",-40.9413813984,final tumor volume exceeds the initial tumor volume.,Treatment failure
531,"{""drug_diffusion"": 8.83835442715144e-09, ""drug_efficacy"": 0.5095427936876578, ""drug_loading"": 0.9522205927641236, ""np_diffusion"": 5.610377629743115e-09, ""particle_size_nm"": 67.18466777543509, ""release_rate"": 0.045795759690612954, ""tumor_growth_rate"": 0.04871974928101121, ""uptake_rate"": 0.055065885522598154}",-531.628861098,final tumor volume exceeds the initial tumor volume.,Treatment failure
532,"{""drug_diffusion"": 4.437196246140756e-09, ""drug_efficacy"": 0.3124120166984593, ""drug_loading"": 0.764035526884044, ""np_diffusion"": 2.1641079061711115e-10, ""particle_size_nm"": 153.01507771383956, ""release_rate"": 0.14672474156473772, ""tumor_growth_rate"": 0.04820242863776321, ""uptake_rate"": 0.050177458836258945}",-671.93682016,final tumor volume exceeds the initial tumor volume.,Treatment failure
534,"{""drug_diffusion"": 4.207058933308275e-09, ""drug_efficacy"": 0.31943338049433584, ""drug_loading"": 0.4419932057299484, ""np_diffusion"": 1.4746142067682654e-09, ""particle_size_nm"": 136.86767211417413, ""release_rate"": 0.10370228790011728, ""tumor_growth_rate"": 0.04611380155666915, ""uptake_rate"": 0.07723172728611603}",-616.516432047,final tumor volume exceeds the initial tumor volume.,Treatment failure
535,"{""drug_diffusion"": 7.3522864765292876e-09, ""drug_efficacy"": 0.5882386641730719, ""drug_loading"": 0.9950717949704158, ""np_diffusion"": 9.454556611993262e-09, ""particle_size_nm"": 132.0643354157155, ""release_rate"": 0.020022587755832977, ""tumor_growth_rate"": 0.04000758473201978, ""uptake_rate"": 0.025682873197593277}",-442.393242713,final tumor volume exceeds the initial tumor volume.,Treatment failure
536,"{""drug_diffusion"": 3.087238277422978e-09, ""drug_efficacy"": 0.8688028612503242, ""drug_loading"": 0.6160100399243743, ""np_diffusion"": 5.452470407499895e-09, ""particle_size_nm"": 85.55004529912874, ""release_rate"": 0.019395726879082052, ""tumor_growth_rate"": 0.023447958597388213, ""uptake_rate"": 0.09888722837894567}",-6.64827140715,final tumor volume exceeds the initial tumor volume.,Treatment failure
541,"{""drug_diffusion"": 3.344392692181947e-09, ""drug_efficacy"": 0.30048008561745326, ""drug_loading"": 0.4479392594531404, ""np_diffusion"": 6.382463795853052e-09, ""particle_size_nm"": 145.3608562407648, ""release_rate"": 0.12075896471631431, ""tumor_growth_rate"": 0.040960381602618626, ""uptake_rate"": 0.05215839093459887}",-471.81825034,final tumor volume exceeds the initial tumor volume.,Treatment failure
543,"{""drug_diffusion"": 6.443803201796929e-09, ""drug_efficacy"": 0.6240206008840786, ""drug_loading"": 0.37703282414105954, ""np_diffusion"": 9.97064125913341e-09, ""particle_size_nm"": 23.106650967616645, ""release_rate"": 0.08493813953675028, ""tumor_growth_rate"": 0.04896588778760732, ""uptake_rate"": 0.02614539988289328}",-162.106953386,final tumor volume exceeds the initial tumor volume.,Treatment failure
544,"{""drug_diffusion"": 4.8751439982985675e-09, ""drug_efficacy"": 0.36988535465966443, ""drug_loading"": 0.5401083941030693, ""np_diffusion"": 3.030785382641681e-09, ""particle_size_nm"": 29.115244042083493, ""release_rate"": 0.019096909492393004, ""tumor_growth_rate"": 0.04646073514616537, ""uptake_rate"": 0.09686601541075368}",-1060.99926152,final tumor volume exceeds the initial tumor volume.,Treatment failure
545,"{""drug_diffusion"": 2.2283704260405113e-09, ""drug_efficacy"": 0.3055292737249498, ""drug_loading"": 0.8260519382240845, ""np_diffusion"": 2.1792901288203273e-10, ""particle_size_nm"": 98.39376722888373, ""release_rate"": 0.09191616856999708, ""tumor_growth_rate"": 0.03520886860619856, ""uptake_rate"": 0.053812258404034016}",-322.274449393,final tumor volume exceeds the initial tumor volume.,Treatment failure
546,"{""drug_diffusion"": 1.2795124968331755e-09, ""drug_efficacy"": 0.401560223113944, ""drug_loading"": 0.8371569142160029, ""np_diffusion"": 8.900274349692773e-09, ""particle_size_nm"": 196.69050893813514, ""release_rate"": 0.013827283076008196, ""tumor_growth_rate"": 0.016709713232629556, ""uptake_rate"": 0.058893590429238016}",-88.5601814017,final tumor volume exceeds the initial tumor volume.,Treatment failure
548,"{""drug_diffusion"": 9.252563572114718e-09, ""drug_efficacy"": 0.36032864807669535, ""drug_loading"": 0.22618871482211544, ""np_diffusion"": 1.7919338745219002e-10, ""particle_size_nm"": 85.77478121895253, ""release_rate"": 0.03941780830627324, ""tumor_growth_rate"": 0.038145820600163215, ""uptake_rate"": 0.08794010373127105}",-533.588195103,final tumor volume exceeds the initial tumor volume.,Treatment failure
549,"{""drug_diffusion"": 8.795488698358884e-10, ""drug_efficacy"": 0.3616208185561921, ""drug_loading"": 0.8256204221633319, ""np_diffusion"": 7.293795367304739e-09, ""particle_size_nm"": 69.42078874970247, ""release_rate"": 0.016194230361892773, ""tumor_growth_rate"": 0.024790807716286847, ""uptake_rate"": 0.022835300118833585}",-259.098161106,final tumor volume exceeds the initial tumor volume.,Treatment failure
557,"{""drug_diffusion"": 9.982754254268921e-09, ""drug_efficacy"": 0.45921682822574256, ""drug_loading"": 0.34094277562256425, ""np_diffusion"": 4.636767377141151e-09, ""particle_size_nm"": 156.5951611768243, ""release_rate"": 0.19108667705178975, ""tumor_growth_rate"": 0.04150251500742803, ""uptake_rate"": 0.07100546517914597}",-184.049914866,final tumor volume exceeds the initial tumor volume.,Treatment failure
558,"{""drug_diffusion"": 4.862380535855438e-09, ""drug_efficacy"": 0.7008052127395702, ""drug_loading"": 0.9249483185963394, ""np_diffusion"": 4.1315840775888374e-10, ""particle_size_nm"": 153.89602295770106, ""release_rate"": 0.1193471627615659, ""tumor_growth_rate"": 0.0440492992419689, ""uptake_rate"": 0.05772393697179541}",-23.4095011964,final tumor volume exceeds the initial tumor volume.,Treatment failure
560,"{""drug_diffusion"": 8.084218774340907e-09, ""drug_efficacy"": 0.5194042306760841, ""drug_loading"": 0.4282556725976652, ""np_diffusion"": 4.777081352883253e-09, ""particle_size_nm"": 189.187864823025, ""release_rate"": 0.01725590393240098, ""tumor_growth_rate"": 0.013152267285335159, ""uptake_rate"": 0.09874444891101285}",-4.36152318398,final tumor volume exceeds the initial tumor volume.,Treatment failure
561,"{""drug_diffusion"": 6.268133024858531e-09, ""drug_efficacy"": 0.6274028457483549, ""drug_loading"": 0.6361394519930312, ""np_diffusion"": 5.318265889293784e-09, ""particle_size_nm"": 168.62040210272477, ""release_rate"": 0.18920808808445835, ""tumor_growth_rate"": 0.04226422260534265, ""uptake_rate"": 0.027680911051148498}",-27.9545451395,final tumor volume exceeds the initial tumor volume.,Treatment failure
563,"{""drug_diffusion"": 5.914266794160798e-09, ""drug_efficacy"": 0.5811857269963789, ""drug_loading"": 0.42570881473241384, ""np_diffusion"": 2.076153534336866e-10, ""particle_size_nm"": 83.32993646530579, ""release_rate"": 0.011357671995433867, ""tumor_growth_rate"": 0.0395859236364306, ""uptake_rate"": 0.05712510431641061}",-709.427543928,final tumor volume exceeds the initial tumor volume.,Treatment failure
566,"{""drug_diffusion"": 3.792493784939696e-09, ""drug_efficacy"": 0.6584670533259058, ""drug_loading"": 0.2148119874738524, ""np_diffusion"": 9.249891030371915e-09, ""particle_size_nm"": 179.35528280113462, ""release_rate"": 0.041798801105051846, ""tumor_growth_rate"": 0.04679094080132091, ""uptake_rate"": 0.08042296890269726}",-308.317736402,final tumor volume exceeds the initial tumor volume.,Treatment failure
567,"{""drug_diffusion"": 7.50566313547298e-09, ""drug_efficacy"": 0.6943849912831541, ""drug_loading"": 0.4247085694860487, ""np_diffusion"": 2.6073698702402334e-09, ""particle_size_nm"": 164.6030244488411, ""release_rate"": 0.01099633102345151, ""tumor_growth_rate"": 0.04691807733313301, ""uptake_rate"": 0.05098419479845862}",-823.81802222,final tumor volume exceeds the initial tumor volume.,Treatment failure
