Sample Number,Parameter Values,Tumor Reduction,Reason For Rejection,Rejection Category
37,"{""drug_diffusion"": 1.3447872317126087e-09, ""drug_efficacy"": 0.3312067512134852, ""drug_loading"": 0.3058230443665748, ""np_diffusion"": 9.530594039703699e-09, ""particle_size_nm"": 179.26257619970693, ""release_rate"": 0.07744865458749904, ""tumor_growth_rate"": 0.043884004802418275, ""uptake_rate"": 0.08398016357959853}",-551.560083967,final tumor volume exceeds the initial tumor volume.,Treatment failure
38,"{""drug_diffusion"": 5.4741970390848934e-09, ""drug_efficacy"": 0.34521199173676015, ""drug_loading"": 0.25411291691847093, ""np_diffusion"": 6.444517333497914e-09, ""particle_size_nm"": 55.7151531255682, ""release_rate"": 0.11501259460677152, ""tumor_growth_rate"": 0.04126873268986858, ""uptake_rate"": 0.012081615861936523}",-375.769499664,final tumor volume exceeds the initial tumor volume.,Treatment failure
39,"{""drug_diffusion"": 3.613882791084192e-09, ""drug_efficacy"": 0.6308605827502278, ""drug_loading"": 0.9712519510479001, ""np_diffusion"": 4.270316931035978e-09, ""particle_size_nm"": 185.03522781244416, ""release_rate"": 0.15038545928494496, ""tumor_growth_rate"": 0.04500149494690625, ""uptake_rate"": 0.01430186705828644}",-62.2634051507,final tumor volume exceeds the initial tumor volume.,Treatment failure
43,"{""drug_diffusion"": 5.396639595053803e-09, ""drug_efficacy"": 0.9228183695514234, ""drug_loading"": 0.33828449656354453, ""np_diffusion"": 2.1204993733748987e-09, ""particle_size_nm"": 94.63969611987976, ""release_rate"": 0.02146478150456925, ""tumor_growth_rate"": 0.04950051740284003, ""uptake_rate"": 0.011375698841485312}",-418.733598555,final tumor volume exceeds the initial tumor volume.,Treatment failure
45,"{""drug_diffusion"": 6.498239685914533e-09, ""drug_efficacy"": 0.3161322102067608, ""drug_loading"": 0.8974457905776247, ""np_diffusion"": 1.2526143446290816e-09, ""particle_size_nm"": 160.700482734885, ""release_rate"": 0.054094326291016674, ""tumor_growth_rate"": 0.04516944502556318, ""uptake_rate"": 0.015466734263878729}",-727.710400704,final tumor volume exceeds the initial tumor volume.,Treatment failure
48,"{""drug_diffusion"": 1.3597283173921528e-09, ""drug_efficacy"": 0.38143711893271826, ""drug_loading"": 0.4001709133818002, ""np_diffusion"": 6.851678540375204e-09, ""particle_size_nm"": 196.81996130166632, ""release_rate"": 0.024377409471240653, ""tumor_growth_rate"": 0.02180504410202809, ""uptake_rate"": 0.010269917482389403}",-117.450447323,final tumor volume exceeds the initial tumor volume.,Treatment failure
49,"{""drug_diffusion"": 8.295974314085341e-10, ""drug_efficacy"": 0.32375368861889664, ""drug_loading"": 0.7834949520063956, ""np_diffusion"": 1.5816949491769746e-09, ""particle_size_nm"": 96.58224230386853, ""release_rate"": 0.07667037688353236, ""tumor_growth_rate"": 0.04958764243871902, ""uptake_rate"": 0.09929597864273432}",-767.008308209,final tumor volume exceeds the initial tumor volume.,Treatment failure
50,"{""drug_diffusion"": 4.753364019114083e-09, ""drug_efficacy"": 0.4158557682674099, ""drug_loading"": 0.350723283963075, ""np_diffusion"": 1.891397439771358e-09, ""particle_size_nm"": 34.878604244103336, ""release_rate"": 0.01043286246371502, ""tumor_growth_rate"": 0.03851066433567751, ""uptake_rate"": 0.08522638398491753}",-827.904049403,final tumor volume exceeds the initial tumor volume.,Treatment failure
53,"{""drug_diffusion"": 2.486796549855825e-09, ""drug_efficacy"": 0.33883018301580975, ""drug_loading"": 0.5054110596038712, ""np_diffusion"": 9.991924795846124e-09, ""particle_size_nm"": 25.431427458421478, ""release_rate"": 0.047915905830711945, ""tumor_growth_rate"": 0.01705869434563536, ""uptake_rate"": 0.08592842213663449}",-16.0149447969,final tumor volume exceeds the initial tumor volume.,Treatment failure
57,"{""drug_diffusion"": 9.8776580220204e-09, ""drug_efficacy"": 0.3242541615738669, ""drug_loading"": 0.27721030244229733, ""np_diffusion"": 7.443386831354904e-09, ""particle_size_nm"": 101.05878805343434, ""release_rate"": 0.032415012075740005, ""tumor_growth_rate"": 0.04673866394961202, ""uptake_rate"": 0.07446221866862554}",-947.791485388,final tumor volume exceeds the initial tumor volume.,Treatment failure
59,"{""drug_diffusion"": 9.215292941454898e-09, ""drug_efficacy"": 0.3730989662396649, ""drug_loading"": 0.8096113078938576, ""np_diffusion"": 9.043812696090201e-09, ""particle_size_nm"": 138.03310603768153, ""release_rate"": 0.07169176596357983, ""tumor_growth_rate"": 0.03199627004708349, ""uptake_rate"": 0.012831480520724654}",-150.378593979,final tumor volume exceeds the initial tumor volume.,Treatment failure
62,"{""drug_diffusion"": 1.3005257416899965e-10, ""drug_efficacy"": 0.6397603432439694, ""drug_loading"": 0.7133058253347977, ""np_diffusion"": 4.940842443159052e-09, ""particle_size_nm"": 39.46740305591613, ""release_rate"": 0.09852956869007265, ""tumor_growth_rate"": 0.04759283177106092, ""uptake_rate"": 0.016549639520562626}",-115.366873542,final tumor volume exceeds the initial tumor volume.,Treatment failure
64,"{""drug_diffusion"": 9.966330065710904e-09, ""drug_efficacy"": 0.434390976386541, ""drug_loading"": 0.3092847986959638, ""np_diffusion"": 4.732539559685654e-10, ""particle_size_nm"": 77.71775840204074, ""release_rate"": 0.11137981542221882, ""tumor_growth_rate"": 0.0428471994154541, ""uptake_rate"": 0.04657375230717831}",-284.987575822,final tumor volume exceeds the initial tumor volume.,Treatment failure
67,"{""drug_diffusion"": 1.4813210840323974e-09, ""drug_efficacy"": 0.3410688221876827, ""drug_loading"": 0.9990569645315683, ""np_diffusion"": 6.067675070463124e-09, ""particle_size_nm"": 33.64820327859851, ""release_rate"": 0.19512717279782774, ""tumor_growth_rate"": 0.0402027838051495, ""uptake_rate"": 0.0910762534018304}",-342.846161003,final tumor volume exceeds the initial tumor volume.,Treatment failure
68,"{""drug_diffusion"": 8.286319741621531e-09, ""drug_efficacy"": 0.3421037457961871, ""drug_loading"": 0.9708300776220735, ""np_diffusion"": 4.838395989667131e-09, ""particle_size_nm"": 86.39512336576391, ""release_rate"": 0.03663972029164576, ""tumor_growth_rate"": 0.024522733431851716, ""uptake_rate"": 0.09990873278656486}",-169.928476128,final tumor volume exceeds the initial tumor volume.,Treatment failure
69,"{""drug_diffusion"": 4.615176114979159e-09, ""drug_efficacy"": 0.787190781230044, ""drug_loading"": 0.7598158593091484, ""np_diffusion"": 6.957977588302168e-09, ""particle_size_nm"": 183.5506171558481, ""release_rate"": 0.010501941489334773, ""tumor_growth_rate"": 0.04063769229840795, ""uptake_rate"": 0.0957601804118693}",-515.938963903,final tumor volume exceeds the initial tumor volume.,Treatment failure
70,"{""drug_diffusion"": 5.6029007806753515e-09, ""drug_efficacy"": 0.30279762367807017, ""drug_loading"": 0.23313195654438992, ""np_diffusion"": 7.357143620028103e-09, ""particle_size_nm"": 147.626047034276, ""release_rate"": 0.013431817485855873, ""tumor_growth_rate"": 0.022576604664578503, ""uptake_rate"": 0.021063588562137275}",-259.894609509,final tumor volume exceeds the initial tumor volume.,Treatment failure
71,"{""drug_diffusion"": 9.267337812002071e-09, ""drug_efficacy"": 0.3618739379483169, ""drug_loading"": 0.8129958659424119, ""np_diffusion"": 7.868344950454929e-10, ""particle_size_nm"": 25.133524287316206, ""release_rate"": 0.035830755122248203, ""tumor_growth_rate"": 0.018071666124284617, ""uptake_rate"": 0.02593821040295436}",-52.3199547937,final tumor volume exceeds the initial tumor volume.,Treatment failure
76,"{""drug_diffusion"": 8.403242772162451e-09, ""drug_efficacy"": 0.4039822447734819, ""drug_loading"": 0.8875819286856117, ""np_diffusion"": 7.965131709387029e-09, ""particle_size_nm"": 33.16089108884773, ""release_rate"": 0.14400292422763528, ""tumor_growth_rate"": 0.04475099223684875, ""uptake_rate"": 0.05559494429740606}",-354.983151317,final tumor volume exceeds the initial tumor volume.,Treatment failure
82,"{""drug_diffusion"": 3.165077302112631e-09, ""drug_efficacy"": 0.7426869025979527, ""drug_loading"": 0.7740576952498115, ""np_diffusion"": 9.860004462255932e-09, ""particle_size_nm"": 190.47227423307834, ""release_rate"": 0.0999388699179208, ""tumor_growth_rate"": 0.04539796258055512, ""uptake_rate"": 0.012098336694146443}",-0.841620619794,final tumor volume exceeds the initial tumor volume.,Treatment failure
84,"{""drug_diffusion"": 6.158945385979086e-09, ""drug_efficacy"": 0.5316012356949693, ""drug_loading"": 0.2530189212121297, ""np_diffusion"": 9.444925142994217e-09, ""particle_size_nm"": 179.10679301520906, ""release_rate"": 0.06591235493987843, ""tumor_growth_rate"": 0.03865775342339986, ""uptake_rate"": 0.023663389257961017}",-120.391695027,final tumor volume exceeds the initial tumor volume.,Treatment failure
85,"{""drug_diffusion"": 5.0504516768989074e-09, ""drug_efficacy"": 0.4087628328910241, ""drug_loading"": 0.6809205525675883, ""np_diffusion"": 9.968591476232431e-09, ""particle_size_nm"": 32.63654642120329, ""release_rate"": 0.017224565363452665, ""tumor_growth_rate"": 0.040795344362676116, ""uptake_rate"": 0.037189541498924596}",-752.951695671,final tumor volume exceeds the initial tumor volume.,Treatment failure
86,"{""drug_diffusion"": 4.860137012872004e-10, ""drug_efficacy"": 0.9729099423488823, ""drug_loading"": 0.6697555516467553, ""np_diffusion"": 8.520948815637139e-09, ""particle_size_nm"": 105.90826191777248, ""release_rate"": 0.01870395096975943, ""tumor_growth_rate"": 0.03771541456381469, ""uptake_rate"": 0.040934042083066405}",-133.254305747,final tumor volume exceeds the initial tumor volume.,Treatment failure
87,"{""drug_diffusion"": 9.26964497846602e-09, ""drug_efficacy"": 0.8186760055100559, ""drug_loading"": 0.8532854649557142, ""np_diffusion"": 5.314419153902755e-10, ""particle_size_nm"": 165.12955411345536, ""release_rate"": 0.012117580117441556, ""tumor_growth_rate"": 0.046130449477133614, ""uptake_rate"": 0.07147196188283755}",-705.722870132,final tumor volume exceeds the initial tumor volume.,Treatment failure
88,"{""drug_diffusion"": 6.567227852024553e-09, ""drug_efficacy"": 0.5235037149246318, ""drug_loading"": 0.6765152817655284, ""np_diffusion"": 1.459546448173941e-09, ""particle_size_nm"": 107.44564468175638, ""release_rate"": 0.19995431096473829, ""tumor_growth_rate"": 0.04824334449517986, ""uptake_rate"": 0.059711882712167964}",-232.762526404,final tumor volume exceeds the initial tumor volume.,Treatment failure
89,"{""drug_diffusion"": 1.4216264945547162e-10, ""drug_efficacy"": 0.4354485491151475, ""drug_loading"": 0.3221326294638726, ""np_diffusion"": 5.038431339114507e-09, ""particle_size_nm"": 54.185881899720684, ""release_rate"": 0.17296933213168364, ""tumor_growth_rate"": 0.04791908637640579, ""uptake_rate"": 0.06717134487503064}",-374.283107337,final tumor volume exceeds the initial tumor volume.,Treatment failure
91,"{""drug_diffusion"": 6.148647827884533e-09, ""drug_efficacy"": 0.31333828394301055, ""drug_loading"": 0.5122398706347642, ""np_diffusion"": 9.137865169700884e-09, ""particle_size_nm"": 165.4721772929427, ""release_rate"": 0.023471483608430925, ""tumor_growth_rate"": 0.010181453113782381, ""uptake_rate"": 0.08145685111735011}",-7.84023635543,final tumor volume exceeds the initial tumor volume.,Treatment failure
92,"{""drug_diffusion"": 8.701790907725356e-09, ""drug_efficacy"": 0.32050710413407474, ""drug_loading"": 0.2247063764191758, ""np_diffusion"": 2.080289135891572e-09, ""particle_size_nm"": 175.73184395377834, ""release_rate"": 0.021088386271904336, ""tumor_growth_rate"": 0.018741971088583186, ""uptake_rate"": 0.08669356548036115}",-149.154661183,final tumor volume exceeds the initial tumor volume.,Treatment failure
99,"{""drug_diffusion"": 1.4215225110500815e-09, ""drug_efficacy"": 0.33164185956077524, ""drug_loading"": 0.43227308900684036, ""np_diffusion"": 5.947653930785253e-10, ""particle_size_nm"": 190.20066183980498, ""release_rate"": 0.10851816077998834, ""tumor_growth_rate"": 0.027177147660217817, ""uptake_rate"": 0.09818673252777843}",-98.6114493851,final tumor volume exceeds the initial tumor volume.,Treatment failure
